date,pm25,pm10,no2,co,so2,o3,x,y,z,AQI_Total
2017-01-15,7.779166666666666,15.0,12.166667,0.199025,0.1020835,0.024353,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,15.0
2017-01-16,6.927777666666667,12.0,9.395238,0.1995,0.1020835,0.025059,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,12.0
2017-01-17,7.930555666666667,21.0,10.2125,0.207396,0.1,0.020706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-01-18,8.508333499999999,21.0,13.720833,0.2462575,0.1041665,0.022706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-01-19,8.9166665,23.0,12.768182,0.229375,0.1020835,0.015235,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,23.0
2017-01-20,5.25326075,11.0,14.0,0.2053545,0.2128789999999999,0.021824,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,14.0
2017-01-21,7.1875,18.0,13.375,0.196125,0.1,0.029,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-01-22,9.204166666666667,15.0,9.970833,0.156897,0.1395835,0.035,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,15.0
2017-01-23,8.913889,18.0,7.771429,0.1486665,0.26875,0.016882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-01-24,5.829166666666667,14.0,16.625,0.3045624999999999,0.8813664999999999,0.035706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,16.625
2017-01-29,8.609722333333332,14.0,14.966667,0.1231744999999999,0.55,0.031412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,14.966667
2017-02-02,7.6125,19.0,16.759091,0.259021,0.1979165,0.018647,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,19.0
2017-02-04,8.645833333333334,22.0,10.533333,0.1914374999999999,0.4854165,0.028647,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-02-05,9.963889,16.0,11.5,0.2123094999999999,0.60625,0.027118,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,16.0
2017-02-06,11.338889,19.0,14.066667,0.1931875,0.1145835,0.032706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,19.0
2017-02-07,8.209722333333334,18.0,9.783333,0.1725209999999999,0.1,0.021412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-02-08,9.931944333333334,21.0,9.595833,0.1941905,0.1130435,0.021941,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-02-09,14.794444333333333,24.0,12.147619,0.1795625,0.4479165,0.034471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,24.0
2017-02-10,10.556521666666669,28.0,8.479167,0.2031665,0.2310559999999999,0.036412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,28.0
2017-02-11,8.252777666666667,20.0,9.533333,0.2001665,0.1,0.021882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-02-12,9.923611,24.0,9.933333,0.1627385,0.21875,0.019118,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,24.0
2017-02-13,11.54270825,22.0,11.22381,0.2124165,0.4375,0.021824,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-02-14,15.133333333333333,33.0,14.691667,0.1969584999999999,0.157764,0.026882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,33.0
2017-02-15,11.251389,22.0,12.575,0.156894,1.0625,0.023588,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-02-16,8.0625,20.0,13.190909,0.2810205,1.01875,0.029412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-02-19,13.752777666666669,18.0,17.0375,0.257087,0.1416665,0.032706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-02-20,10.216666666666669,15.0,10.314286,0.145625,0.1020835,0.028588,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,15.0
2017-02-21,7.581944333333332,13.0,7.779167,0.1471045,0.1173915,0.030471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,13.0
2017-02-22,4.397222333333333,8.0,13.0,0.1853635,0.5958335,0.027059,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,13.0
2017-02-23,8.183333333333334,21.0,16.709091,0.2293545,0.29375,0.038882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-02-24,8.073611,14.0,14.945833,0.1876665,0.197205,0.036412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,14.945833
2017-02-26,11.888889,26.0,9.616667,0.199238,0.30625,0.042353,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,26.0
2017-02-27,11.684722333333331,19.0,6.1,0.194104,0.1145835,0.025706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,19.0
2017-02-28,8.816666666666668,20.0,10.783333,0.156646,0.0813665,0.024706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-03-01,10.3375,21.0,6.558333,0.1849319999999999,0.13125,0.027471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-02,14.45,26.0,10.990909,0.1358125,0.1791665,0.039765,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,26.0
2017-03-03,7.295833333333333,13.0,6.708333,0.1941459999999999,0.2065215,0.039353,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,13.0
2017-03-04,8.231944333333333,17.0,9.875,0.2270205,0.2583335,0.049059,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,17.0
2017-03-05,11.3,20.0,8.954167,0.210024,0.1125,0.037588,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-03-06,10.316666666666666,20.0,7.457143,0.207625,0.1395835,0.036118,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-03-07,12.0416665,29.0,10.816667,0.1809585,0.095031,0.031,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,29.0
2017-03-08,7.923611,20.0,8.854545,0.133356,0.1125,0.033824,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-03-09,5.21458325,14.0,7.277273,0.1992915,0.1604165,0.027765,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,14.0
2017-03-10,8.830555666666667,22.0,16.241667,0.189458,0.4993785,0.032059,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-03-11,9.511111,22.0,9.1125,0.227479,0.1333335,0.028235,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-03-13,5.484722333333333,6.0,4.504762,0.197125,0.6125,0.023059,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,6.0
2017-03-15,8.398611,18.0,9.520833,0.1807165,0.3458335,0.031882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-03-16,11.694444333333331,21.0,9.204545,0.2104375,0.625,0.039882,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-17,13.419444333333333,21.0,13.641667,0.204854,0.3447205,0.036529,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-18,8.723611,18.0,14.029167,0.2187915,0.2729165,0.033706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-03-19,9.2625,21.0,12.675,0.170476,0.2833335,0.033235,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-20,11.388889,22.0,8.257143,0.1618125,0.1270835,0.034176,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,22.0
2017-03-21,6.973913,19.0,8.441667,0.1423125,0.104348,0.031412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,19.0
2017-03-22,7.920833333333334,18.0,8.675,0.223214,0.6993785,0.028941,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-03-23,13.577777666666668,27.0,16.090476,0.2630415,0.3416665,0.048294,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,27.0
2017-03-25,15.480555666666666,30.0,8.220833,0.1955,0.2916665,0.034647,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,30.0
2017-03-26,6.780555666666667,13.0,9.879167,0.2092145,0.1,0.033412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,13.0
2017-03-27,14.305555666666663,23.0,8.37619,0.191,0.1,0.028706,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,23.0
2017-03-28,9.852777666666666,20.0,8.3,0.1853334999999999,0.1,0.029588,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-03-29,10.459722333333334,21.0,9.516667,0.185932,0.1,0.031,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-30,9.119444333333334,21.0,8.263636,0.1941455,0.1416665,0.031529,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-03-31,6.815277666666667,12.0,13.2625,0.246979,0.6431675,0.043765,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,13.2625
2017-04-02,8.45104175,15.0,14.3375,0.1687775,0.0958335,0.021471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,15.0
2017-04-03,9.936111,18.0,5.509524,0.1932289999999999,0.11875,0.032824,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-04-04,7.025,11.0,12.429167,0.2628125,0.4065215,0.047176,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,12.429167
2017-04-05,8.444444333333333,18.0,15.970833,0.1734319999999999,0.1270835,0.036353,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,18.0
2017-04-09,12.379166666666668,20.0,15.066667,0.2033255,0.3020834999999999,0.051824,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,20.0
2017-04-10,9.786111,16.0,9.67619,0.191104,0.2375,0.048471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,16.0
2017-04-11,9.611111,21.0,11.908696,0.204854,0.1475155,0.039235,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,21.0
2017-04-12,12.6,24.0,12.770833,0.260288,0.1479165,0.027647,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,24.0
2017-04-13,12.234848333333332,25.0,15.595455,0.3027499999999999,0.275,0.040471,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,25.0
2017-04-14,13.865625,28.0,15.2,0.245771,0.126708,0.041176,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,28.0
2017-04-15,14.447222333333334,25.0,10.35,0.1901875,0.1208335,0.033412,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,25.0
2017-04-16,10.301389,17.0,8.520833,0.1907145,0.1041665,0.026118,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,17.0
2017-04-17,7.756944333333333,15.0,8.1,0.199854,0.1041665,0.023294,-0.01773908379047898,-0.8617831984816012,0.5069665114394593,15.0
